Symbol,Name
BOM500209,INFOSYS LTD.
BOM532540,TATA CONSULTANCY SERVICES LTD.
BOM500180,HDFC Bank Ltd.
BOM532174,ICICI BANK LTD.
BOM500034,Bajaj Finance Limited
BOM532500,MARUTI SUZUKI INDIA LTD.
BOM500325,RELIANCE INDUSTRIES LTD.
BOM500696,HINDUSTAN UNILEVER LTD.
BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.
BOM500247,KOTAK MAHINDRA BANK LTD.
BOM500875,ITC LTD.
BOM500112,STATE BANK OF INDIA
BOM500510,LARSEN & TOUBRO LTD.
BOM532454,BHARTI AIRTEL LTD.
BOM532215,AXIS BANK LTD.
BOM500312,OIL AND NATURAL GAS CORPORATION LTD.
BOM500820,ASIAN PAINTS LTD.
BOM507685,WIPRO LTD.
BOM532281,HCL TECHNOLOGIES LTD.
BOM500790,NESTLE INDIA LTD.
BOM540719,SBI Life Insurance Company Ltd
BOM530965,INDIAN OIL CORPORATION LTD.
BOM533278,COAL INDIA LTD.
BOM532978,BAJAJ FINSERV LTD.
BOM532555,NTPC LTD.
BOM532538,ULTRATECH CEMENT LTD.
BOM532461,PUNJAB NATIONAL BANK
BOM540005,Larsen & Toubro Infotech Ltd
BOM532898,POWER GRID CORPORATION OF INDIA LTD.
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD.
BOM532187,INDUSIND BANK LTD.
BOM500188,HINDUSTAN ZINC LTD.
BOM500547,BHARAT PETROLEUM CORPORATION LTD.
BOM532977,BAJAJ AUTO LTD.
BOM500096,DABUR INDIA LTD.
BOM532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
BOM500331,PIDILITE INDUSTRIES LTD.
BOM500520,MAHINDRA & MAHINDRA LTD.
BOM532424,GODREJ CONSUMER PRODUCTS LTD.
BOM500825,BRITANNIA INDUSTRIES LTD.
BOM532755,TECH MAHINDRA LTD.
BOM500387,SHREE CEMENT LTD.
BOM532155,GAIL (INDIA) LTD.
BOM541729,HDFC Asset Management Company Ltd
BOM541153,Bandhan Bank Ltd
BOM500295,Vedanta Limited
BOM500228,JSW STEEL LTD.
BOM500182,HERO MOTOCORP LTD.
BOM540716,ICICI Lombard General Insurance Company Ltd
BOM500300,GRASIM INDUSTRIES LTD.
BOM531642,MARICO LTD.
BOM505200,EICHER MOTORS LTD.
BOM534816,BHARTI INFRATEL LTD.
BOM500550,SIEMENS LTD.
BOM500124,DR.REDDY'S LABORATORIES LTD.
BOM517354,HAVELLS INDIA LTD.
BOM500440,HINDALCO INDUSTRIES LTD.
BOM532432,UNITED SPIRITS LTD.
BOM532488,DIVI'S LABORATORIES LTD.
BOM512070,UPL Limited
BOM500425,AMBUJA CEMENTS LTD.
BOM500470,TATA STEEL LTD.
BOM500104,HINDUSTAN PETROLEUM CORPORATION LTD.
BOM532868,DLF LTD.
BOM500530,BOSCH LTD.
BOM532522,PETRONET LNG LTD.
BOM509480,BERGER PAINTS INDIA LTD.
BOM500570,TATA MOTORS LTD.
BOM532134,BANK OF BARODA
BOM500830,COLGATE-PALMOLIVE (INDIA) LTD.
BOM500087,CIPLA LTD.
BOM500302,PIRAMAL ENTERPRISES LTD.
BOM524804,AUROBINDO PHARMA LTD.
BOM500490,BAJAJ HOLDINGS & INVESTMENT LTD.
BOM517334,MOTHERSON SUMI SYSTEMS LTD.
BOM500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.
BOM500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
BOM500257,LUPIN LTD.
BOM532478,UNITED BREWERIES LTD.-$
BOM500049,BHARAT ELECTRONICS LTD.
BOM500165,KANSAI NEROLAC PAINTS LTD.
BOM511218,SHRIRAM TRANSPORT FINANCE CO.LTD.
BOM532955,REC Ltd
BOM531344,CONTAINER CORPORATION OF INDIA LTD.
BOM540755,General Insurance Corporation of India
BOM500410,ACC LTD.
BOM500002,ABB India Limited
BOM542602,Embassy Office Parks REIT
BOM500420,TORRENT PHARMACEUTICALS LTD.
BOM505537,ZEE ENTERTAINMENT ENTERPRISES LTD.
BOM500290,MRF LTD.
BOM532523,BIOCON LTD.
BOM532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.
BOM532810,POWER FINANCE CORPORATION LTD.
BOM526371,NMDC LTD.
BOM540777,HDFC Life Insurance Company Ltd
BOM500114,Titan Company Limited
BOM540376,Avenue Supermarts Ltd
BOM539448,InterGlobe Aviation Ltd
BOM540133,ICICI Prudential Life Insurance Company Ltd
