Symbol,Company,Loss,Epochs,Duration
BOM532461,PUNJAB NATIONAL BANK,0.000398685,2838,248.89
BOM500290,MRF LTD.,0.000399588,1844,219.473
BOM500410,ACC LTD.,0.000394448,1547,167.832
BOM532461,PUNJAB NATIONAL BANK,0.000399731,662,49.5536
BOM500420,TORRENT PHARMACEUTICALS LTD.,0.000396986,1312,156.161
BOM500290,MRF LTD.,0.000399423,518,43.8547
BOM532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,0.000399902,2785,229.31
BOM532810,POWER FINANCE CORPORATION LTD.,0.000399416,3916,221.631
BOM500410,ACC LTD.,0.000397452,221,22.9079
BOM532461,PUNJAB NATIONAL BANK,0.000399126,0,0.202028
BOM500410,ACC LTD.,0.000399195,0,0.228422
BOM532461,PUNJAB NATIONAL BANK,0.000399875,795,64.2009
BOM500420,TORRENT PHARMACEUTICALS LTD.,0.000396556,554,53.4099
BOM500290,MRF LTD.,0.00039757,528,50.6303
BOM532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,0.000398009,0,0.402766
BOM532810,POWER FINANCE CORPORATION LTD.,0.00039886,1278,64.3751
BOM500049,BHARAT ELECTRONICS LTD.,0.000398292,3478,409.669
BOM500165,KANSAI NEROLAC PAINTS LTD.,0.000399515,3169,362.114
BOM511218,SHRIRAM TRANSPORT FINANCE CO.LTD.,0.000399879,2267,314.536
BOM532540,TATA CONSULTANCY SERVICES LTD.,0.00039763,5338,337.07
BOM500209,INFOSYS LTD.,0.00039454,5069,559.301
BOM500510,LARSEN & TOUBRO LTD.,0.000399054,4008,522.603
BOM500790,NESTLE INDIA LTD.,0.000396691,3194,373.49
BOM532978,BAJAJ FINSERV LTD.,0.000393511,4744,349.357
BOM532555,NTPC LTD.,0.000396403,7489,566.607
BOM532538,ULTRATECH CEMENT LTD.,0.000395969,6429,425.022
BOM532898,POWER GRID CORPORATION OF INDIA LTD.,0.000399154,5541,296.76
BOM532187,INDUSIND BANK LTD.,0.000398477,1328,120.168
BOM532461,PUNJAB NATIONAL BANK,0.000399996,7226,526.969
BOM500002,ABB India Limited,0.000395223,1952,232.38
BOM500420,TORRENT PHARMACEUTICALS LTD.,0.000394913,4062,395.64
BOM500290,MRF LTD.,0.000397051,1796,272.33
BOM532523,BIOCON LTD.,0.000399547,8691,560.521
BOM532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,0.00039957,8072,557.33
BOM532810,POWER FINANCE CORPORATION LTD.,0.000396096,7615,427.486
BOM500049,BHARAT ELECTRONICS LTD.,0.000398607,5430,481.556
BOM500165,KANSAI NEROLAC PAINTS LTD.,0.000399698,3024,328.496
BOM532955,REC Ltd,0.000396818,9759,509.065
BOM500325,RELIANCE INDUSTRIES LTD.,0.000399877,4951,545.767
BOM532540,TATA CONSULTANCY SERVICES LTD.,0.000396126,6607,403.962
BOM500209,INFOSYS LTD.,0.00039684,3111,302.524
BOM500247,KOTAK MAHINDRA BANK LTD.,0.000399939,6241,569.837
BOM532174,ICICI BANK LTD.,0.000399085,6533,588.834
BOM500034,Bajaj Finance Limited,0.000398538,5613,500.495
BOM532500,MARUTI SUZUKI INDIA LTD.,0.000398939,4627,417.008
BOM532454,BHARTI AIRTEL LTD.,0.000396967,5887,514.791
BOM507685,WIPRO LTD.,0.000399909,5606,553.519
BOM500790,NESTLE INDIA LTD.,0.000398294,2030,353.677
BOM533278,COAL INDIA LTD.,0.000396999,5572,232.7
BOM532978,BAJAJ FINSERV LTD.,0.000398167,6556,467.4
BOM532555,NTPC LTD.,0.000398958,7311,542.17
BOM532538,ULTRATECH CEMENT LTD.,0.00039655,7695,536.22
BOM500188,HINDUSTAN ZINC LTD.,0.000396367,5552,530.221
BOM532977,BAJAJ AUTO LTD.,0.000396804,9070,478.532
BOM532977,BAJAJ AUTO LTD.,0.000399827,1436,62.488
BOM532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,0.000395382,8522,467.345
BOM500825,BRITANNIA INDUSTRIES LTD.,0.000399078,2927,376.958
BOM500387,SHREE CEMENT LTD.,0.000399695,1211,167.596
BOM539448,InterGlobe Aviation Ltd,0.000382569,5569,132.631
BOM532868,DLF LTD.,0.000399817,5044,551.494
